ER34101,ER34901,income_2010,income_2020,above_median_2021,wealth_no_equity,wealth_with_equity,age_head,hh_size,num_children,education,education_years,employment_status,family_structure,race_ethnicity,geography,housing_tenure,monthly_housing_cost,annual_housing_cost,housing_cost_burden,cost_burdened
2541,7137,18428.0,51560.0,0.0,10000,10000,53,2,0,Less than HS,11.0,Not in Labor Force,Single/Unpartnered,White (Non-Hispanic),South,Renter,400.0,4800.0,0.26047319296722377,Not Burdened (<30%)
7655,6598,13450.0,99000.0,1.0,-1798,-1798,24,1,0,HS Diploma,12.0,Unemployed,Married/Partnered,White (Non-Hispanic),South,Neither,,,,Not Reported
2147,7060,8088.0,35344.0,0.0,0,0,18,2,0,HS Diploma,12.0,Not in Labor Force,Married/Partnered,White (Non-Hispanic),South,Renter,540.0,6480.0,0.8011869436201781,Cost Burdened (≥30%)
1602,4719,23400.0,264000.0,1.0,1500,1500,29,3,1,Less than HS,11.0,Working,Married/Partnered,White (Non-Hispanic),South,Renter,600.0,7200.0,0.3076923076923077,Cost Burdened (≥30%)
3552,6013,17580.0,0.0,0.0,4000,4001,65,1,0,Less than HS,10.0,Not in Labor Force,Married/Partnered,White (Non-Hispanic),South,Owner,,,,Not Reported
975,2013,34000.0,43744.0,0.0,5000,10000,44,4,2,Less than HS,10.0,Working,Married/Partnered,White (Non-Hispanic),South,Owner,625.0,7500.0,0.22058823529411764,Not Burdened (<30%)
7106,6607,35060.0,221000.0,1.0,-64800,-64800,27,1,0,Graduate Degree,17.0,Working,Married/Partnered,White (Non-Hispanic),Midwest,Renter,580.0,6960.0,0.19851682829435255,Not Burdened (<30%)
499,4057,30000.0,9360.0,0.0,500,500,55,1,0,Less than HS,9.0,Working,Single/Unpartnered,White (Non-Hispanic),Midwest,Renter,250.0,3000.0,0.1,Not Burdened (<30%)
1100,4898,8516.0,22284.0,0.0,0,0,39,5,0,HS Diploma,12.0,Other,Single/Unpartnered,White (Non-Hispanic),Midwest,Renter,475.0,5700.0,0.6693283231564114,Cost Burdened (≥30%)
43,3943,16950.0,46000.0,0.0,3900,3900,37,5,2,Less than HS,11.0,Working,Married/Partnered,White (Non-Hispanic),Midwest,Renter,675.0,8100.0,0.4778761061946903,Cost Burdened (≥30%)
434,3931,20000.0,35760.0,0.0,0,0,36,1,0,Less than HS,11.0,Working,Single/Unpartnered,White (Non-Hispanic),Midwest,Renter,200.0,2400.0,0.12,Not Burdened (<30%)
